Date,Model,Device,Type,TPT,FPT,CPT,ACMDR,SCT,AIT,SIM,NIGHT,HLL,LLL,P,6.0,F,1,2.0,A,B,Record,T&R,Role,Sorties,NT,SIT,IPT,NVG,Mission Code,CAT/JATO,Remarks,DayLdg,NPS,PS,NightLdg,NPA,PA,ShipArrest,Time,Approaches,PIC,SIC
2013-08-16 00:00:00,KC-130J,167109,Aircraft,4.7,2.3,2.4,,,,0.3,,,,,1.0,,,,,1.0,GL311SW,,COPILOT,1,,,,,,,,,,,,,,,,,,4.7
2013-08-17 00:00:00,KC-130J,167109,Aircraft,8.7,4.3,4.4,,,,0.5,0.5,,,,1.0,,,,1.0,,GL311T3,2162,COPILOT,1,,,,,,,,,,,,,,,,,,8.7
2013-08-19 00:00:00,KC-130J,167109,Aircraft,5.0,2.5,2.5,,,,0.3,,,,,1.0,,,,1.0,,GL311TB,2162,COPILOT,1,,,,,,,,,,,,,,,,,,5.0
2013-08-22 00:00:00,KC-130J,168066,Aircraft,9.8,4.9,4.9,,,3.0,0.6,2.1,,,,2.0,,1.0,,,1.0,GL311TP,2162,COPILOT,1,,,,,,,,,,,,,,,,,,9.8
2013-08-29 00:00:00,KC-130J,167923,Aircraft,2.3,1.1,1.2,,,,0.3,,,,,1.0,,,,1.0,,GL311UN,2300,COPILOT,1,,,,,,,,,,,,,,,,,,2.3
2013-08-30 00:00:00,KC-130J,165957,Aircraft,0.3,0.1,0.2,,,,,,,,,1.0,,,,,,GL311UZ,,COPILOT,1,,,,,,,,,,,,,,,,,,0.3
2013-08-30 00:00:00,KC-130J,167923,Aircraft,3.8,1.9,1.9,,,2.0,0.3,,,,,,,,,,,GL311UT,,COPILOT,1,,,,,,,,,,,,,,,,,,3.8
2013-09-01 00:00:00,KC-130J,167927,Aircraft,8.4,4.2,4.2,,,2.0,1.2,1.5,,,,1.0,1.0,,,2.0,,GL311V4,,COPILOT,1,,,,,,,,,,,,,,,,,,8.4
2013-09-05 00:00:00,KC-130J,167925,Aircraft,8.1,4.0,4.1,,,,0.3,,,,,,,,,,,GL311VW,2162,COPILOT,1,,,,,,,,,,,,,,,,,,8.1
2013-09-06 00:00:00,KC-130J,167925,Aircraft,8.1,4.0,4.1,,,,0.3,,,,,1.0,,,,1.0,,GL311WC,2162,COPILOT,1,,,,,,,,,,,,,,,,,,8.1
2013-09-11 00:00:00,KC-130J,168074,Aircraft,4.3,2.1,2.2,,,,0.6,,,,,,,,,,,GL311WR,,COPILOT,1,,,,,,,,,,,,,,,,,,4.3
2013-09-12 00:00:00,KC-130J,2F199-3,Simulator,2.0,1.0,1.0,,,,,,,,3.0,,,,,,,f7c6e83c,"2350, 3501, 3550",COPILOT,1,,,,,,,,,,,,,,,,,,2.0
2013-09-13 00:00:00,KC-130J,167982,Aircraft,0.3,0.1,0.2,,,,,,,,,1.0,,,,,,GL311X7,,COPILOT,1,,,,,,,,,,,,,,,,,,0.3
2013-09-17 00:00:00,KC-130J,168074,Aircraft,6.7,3.3,3.4,,,,1.0,,,,,2.0,,,,1.0,,GL311XM,,COPILOT,1,,,,,,,,,,,,,,,,,,6.7
2013-09-19 00:00:00,KC-130J,167109,Aircraft,8.1,4.0,4.1,,,0.2,0.3,,,,,1.0,,,,,1.0,GL311Y1,"4600, 9005, 3601",COPILOT,1,,,,,,,,,,,,,,,,,,8.1
